EMPLOYEE_ID,START_DATE,END_DATE,JOB_ID,DEPARTMENT_ID
"1","20/05/2004 08:09:47","24/10/9695 11:01:34","23395","-6135"
"2","20/05/2004 08:09:48","18/06/8380 02:48:30","35119","8645"
"4","20/05/2004 08:09:48","12/11/9195 11:01:36","10303","4025"
"4","14/07/2013 09:56:53","24/10/9695 11:01:33","98265","8644"
"6","10/05/2009 00:57:49","30/05/8880 02:48:30","46957","-3956"
"7","11/03/1971 14:36:03","05/02/7651 21:52:31","50330","4026"
"9","29/02/1976 07:24:04","18/06/8380 02:48:29","78560","-8136"
"9","22/02/1999 15:23:20","30/05/8880 02:48:31","57014","2025"
"10","29/02/1976 07:24:05","10/02/5550 01:39:09","82060","8646"
"11","22/02/1999 15:23:20","28/02/5050 01:39:09","67709","6648"
"11","04/07/2018 02:44:52","24/02/7151 21:52:30","93799","6647"
"12","11/03/1971 14:36:05","28/02/5050 01:39:08","60007","8"
