LOCATION_ID,STREET_ADDRESS,POSTAL_CODE,CITY,STATE_PROVINCE,COUNTRY_ID
"-9425","3814 Cedar Tree Ct","99863","Pingree","New Hampshire","CU"
"-9424","576 E Oak Avenue","58886","West Friendship","Oklahoma","BE"
"-9423","72 White Hunting Hill Ct","43610","Downey","Indiana","LB"
"-9422","1603 NW Riverview Ct","85726","Stayton","Wisconsin","CA"
"-9421","3137 Riverside Hwy","35911","Downieville","Connecticut","SR"
"-9420","2304 NW Flintwood Avenue","22085","Huntland","Massachusetts","IS"
"-7425","892 White Buttonwood Blvd","27992","Dowagiac","Illinois","FR"
"-7424","732 Church Dr","93954","Downers Grove","Rhode Island","BH"
"-7423","414 Riddle Hill Hwy","16342","Pinole","Maine","MY"
"-7422","636 W Edgewood Avenue","00392","Creighton","Pennsylvania","EE"
"-7421","3386 E Ironwood Ct","79877","Nashua","Oregon","SZ"
"-7420","994 Church Loop","94047","Loyal","Maryland","PA"
"-4958","1730 Oak Hwy","41899","Statenville","Vermont","DK"
"-4957","3657 SE Meadowview Pkwy","11004","Piney Flats","Missouri","CL"
"-4956","165 Hidden Woodland Lane","19536","Statesboro","Ohio","SL"
"-4955","517 1st Ave","67173","Pinsonfork","Arkansas","NA"
"-2957","882 Prospect Hill Avenue","75249","West Fork","Utah","IT"
"-2956","872 Rose Hill Pkwy","61144","Huntington Station","Arizona","AR"
"-2955","641 North Sharp Hill Loop","35040","West Granby","Tennessee","SI"
"-690","2014 NW Sharp Hill Ave","57878","Pineville","Michigan","VN"
"-689","1092 West Parkwood Lane","26403","Naselle","Louisiana","BD"
"-688","3760 Ski Hill Lane","32865","Brier Hill","South Dakota","RO"
"-687","2941 Red Ashwood Ct","27349","Nashville","Kentucky","BZ"
"1311","677 Pine Tree Blvd","30664","Loxahatchee","Montana","AT"
"1312","53 N Oak Ln","30344","Brielle","West Virginia","GH"
"1313","23 North Glenwood Parkway","42944","Glassport","Nebraska","SK"
"3930","1636 Rockwood Lane","66974","Narrows","New Mexico","TN"
"3931","1108 Hidden Town Rd","72124","Creede","Alaska","AF"
"3932","971 Old Market Ave","67161","Huntington Woods","New York","KW"
"3933","171 Rushwood Blvd","65701","Creedmoor","Iowa","AU"
"3934","429 Riverside Lane","39848","Loxley","Idaho","HU"
"3935","1630 Farmview Road","94731","West Grove","Nevada","MN"
"5930","1992 Edgewood Ln","59510","Zuni","New Jersey","BR"
"5931","780 Prospect Hill Ct","03175","Bridgman","Virginia","SA"
"5932","2229 South Ashwood Loop","99642","West Frankfort","Colorado","TR"
"5933","852 Hidden Mount Blvd","21450","Bridgton","Kansas","ID"
"5934","30 N Meadowview Cir","11083","Pinson","Texas","FJ"
"5935","2500 West Social Blvd","61988","Huntingtown","North Carolina","ZM"
"5936","415 Mount Drive","80927","Steamboat Springs","Wyoming","NO"
"6592","854 SW Ski Hill Loop","41578","Glasgow","Delaware","CY"
"6593","64 2nd Street","08389","Narrowsburg","California","PE"
"6594","26 NW Riverview Ct","68576","Glassboro","Georgia","IQ"
"6595","615 Bayview Lane","33671","Statham","Washington","NG"
"6596","3776 Old Deepwood Road","75489","Creola","Hawaii","UY"
"6597","36 SE Lake Drive","50797","West Greenwich","Mississippi","ES"
"8590","859 Town Court","88655","Lowville","Minnesota","SE"
"8591","1978 Hidden Rock Hill Blvd","54585","Statesville","Florida","MU"
"8592","3203 Hidden Rock Hill Ln","99833","Nashotah","South Carolina","NL"
"8593","310 S Brentwood Ct","64683","Glasser","Alabama","ZW"
"8594","3016 SE Town Loop","44894","Staunton","North Dakota","GM"
